run,type,module,name,attrname,attrvalue,value
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,configname,BinomialCQI_bestCQIScheduler,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,datetime,20180920-01:36:06,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,experiment,BinomialCQI_bestCQIScheduler,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,inifile,omnetpp.ini,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,iterationvars,$usertraffic=0.1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,iterationvarsf,usertraffic=0.1-,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,measurement,$usertraffic=0.1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,network,rrcellnet.CellularNetwork,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,processid,3456,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,repetition,1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,replication,#1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,resultdir,results,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,runnumber,1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,runattr,,,seedset,1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,itervar,,,usertraffic,0.1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.bestCQIScheduler,true,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.webServer[*].lambda,0.1,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.bestCQIScheduler,false,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[*].isBinomial,true,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[0].cqi_binomial_p,0.13,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[1].cqi_binomial_p,0.22,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[2].cqi_binomial_p,0.31,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[3].cqi_binomial_p,0.40,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[4].cqi_binomial_p,0.49,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[5].cqi_binomial_p,0.58,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[6].cqi_binomial_p,0.67,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[7].cqi_binomial_p,0.76,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[8].cqi_binomial_p,0.85,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[9].cqi_binomial_p,0.94,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.nUsersCell,10,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.**.timeFramePeriod,1ms,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.**.nFrameSlots,25,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.webServer[*].size_uniform_a,3,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.webServer[*].size_uniform_b,75,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[*].validationCQI,false,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,CellularNetwork.users[*].fixedCQI,0,
BinomialCQI_bestCQIScheduler-1-20180920-01:36:06-3456,param,,,**.webServer[*].fixedRate,false,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,configname,BinomialCQI_bestCQIScheduler,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,datetime,20180920-01:36:06,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,experiment,BinomialCQI_bestCQIScheduler,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,inifile,omnetpp.ini,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,iterationvars,$usertraffic=0.1,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,iterationvarsf,usertraffic=0.1-,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,measurement,$usertraffic=0.1,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,network,rrcellnet.CellularNetwork,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,processid,3457,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,repetition,0,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,replication,#0,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,resultdir,results,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,runnumber,0,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,runattr,,,seedset,0,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,itervar,,,usertraffic,0.1,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.bestCQIScheduler,true,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.webServer[*].lambda,0.1,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.bestCQIScheduler,false,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[*].isBinomial,true,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[0].cqi_binomial_p,0.13,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[1].cqi_binomial_p,0.22,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[2].cqi_binomial_p,0.31,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[3].cqi_binomial_p,0.40,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[4].cqi_binomial_p,0.49,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[5].cqi_binomial_p,0.58,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[6].cqi_binomial_p,0.67,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[7].cqi_binomial_p,0.76,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[8].cqi_binomial_p,0.85,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[9].cqi_binomial_p,0.94,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.nUsersCell,10,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.**.timeFramePeriod,1ms,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.**.nFrameSlots,25,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.webServer[*].size_uniform_a,3,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.webServer[*].size_uniform_b,75,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[*].validationCQI,false,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,CellularNetwork.users[*].fixedCQI,0,
BinomialCQI_bestCQIScheduler-0-20180920-01:36:06-3457,param,,,**.webServer[*].fixedRate,false,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,configname,BinomialCQI_bestCQIScheduler,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,datetime,20180920-01:36:06,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,experiment,BinomialCQI_bestCQIScheduler,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,inifile,omnetpp.ini,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,iterationvars,$usertraffic=0.1,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,iterationvarsf,usertraffic=0.1-,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,measurement,$usertraffic=0.1,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,network,rrcellnet.CellularNetwork,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,processid,3458,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,repetition,2,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,replication,#2,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,resultdir,results,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,runnumber,2,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,runattr,,,seedset,2,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,itervar,,,usertraffic,0.1,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,**.bestCQIScheduler,true,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,**.webServer[*].lambda,0.1,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,**.bestCQIScheduler,false,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,CellularNetwork.users[*].isBinomial,true,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,CellularNetwork.users[0].cqi_binomial_p,0.13,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,CellularNetwork.users[1].cqi_binomial_p,0.22,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,CellularNetwork.users[2].cqi_binomial_p,0.31,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,CellularNetwork.users[3].cqi_binomial_p,0.40,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,CellularNetwork.users[4].cqi_binomial_p,0.49,
BinomialCQI_bestCQIScheduler-2-20180920-01:36:06-3458,param,,,CellularNetwork.users[5].cqi_binomial_p,0.58,
