run,type,module,name,attrname,attrvalue,value
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,configname,NoFramingTest,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,datetime,20180914-15:53:53,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,experiment,NoFramingTest,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,inifile,omnetpp.ini,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,iterationvarsf,usertraffic=0.1-,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,processid,24560,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,repetition,0,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,replication,#0,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,resultdir,results,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,runnumber,0,
NoFramingTest-0-20180914-15:53:53-24560,runattr,,,seedset,0,
NoFramingTest-0-20180914-15:53:53-24560,itervar,,,usertraffic,0.1,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.webServer[*].lambda,0.1,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.bestCQIScheduler,false,
NoFramingTest-0-20180914-15:53:53-24560,param,,,CellularNetwork.users[*].isBinomial,false,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.webServer[*].size_uniform_a,25,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.webServer[*].size_uniform_b,25,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.nUsersCell,10,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.**.timeFramePeriod,1ms,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.**.nFrameSlots,25,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.webServer[*].size_uniform_a,3,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.webServer[*].size_uniform_b,75,
NoFramingTest-0-20180914-15:53:53-24560,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
NoFramingTest-0-20180914-15:53:53-24560,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
NoFramingTest-0-20180914-15:53:53-24560,param,,,CellularNetwork.users[*].validationCQI,false,
NoFramingTest-0-20180914-15:53:53-24560,param,,,CellularNetwork.users[*].fixedCQI,0,
NoFramingTest-0-20180914-15:53:53-24560,param,,,**.webServer[*].fixedRate,false,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,configname,NoFramingTest,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,datetime,20180914-15:53:53,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,experiment,NoFramingTest,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,inifile,omnetpp.ini,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,iterationvars,$usertraffic=0.1,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,iterationvarsf,usertraffic=0.1-,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,measurement,$usertraffic=0.1,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,network,rrcellnet.CellularNetwork,
NoFramingTest-1-20180914-15:53:53-24561,runattr,,,processid,24561,
