run,type,module,name,attrname,attrvalue,value
RegressionTest-1-20180920-01:30:51-7729,runattr,,,configname,RegressionTest,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,datetime,20180920-01:30:51,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,experiment,RegressionTest,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,inifile,omnetpp.ini,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,iterationvars,$usertraffic=0.1,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,iterationvarsf,usertraffic=0.1-,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,measurement,$usertraffic=0.1,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,network,rrcellnet.CellularNetwork,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,processid,7729,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,repetition,1,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,replication,#1,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,resultdir,results,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,runnumber,1,
RegressionTest-1-20180920-01:30:51-7729,runattr,,,seedset,1,
RegressionTest-1-20180920-01:30:51-7729,itervar,,,usertraffic,0.1,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.nUsersCell,1,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.webServer[*].lambda,0.1,
RegressionTest-1-20180920-01:30:51-7729,param,,,CellularNetwork.users[*].isBinomial,false,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.bestCQIScheduler,false,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.**.timeFramePeriod,1ms,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.**.nFrameSlots,25,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.webServer[*].size_uniform_a,3,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.webServer[*].size_uniform_b,75,
RegressionTest-1-20180920-01:30:51-7729,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
RegressionTest-1-20180920-01:30:51-7729,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
RegressionTest-1-20180920-01:30:51-7729,param,,,CellularNetwork.users[*].validationCQI,false,
RegressionTest-1-20180920-01:30:51-7729,param,,,CellularNetwork.users[*].fixedCQI,0,
RegressionTest-1-20180920-01:30:51-7729,param,,,**.webServer[*].fixedRate,false,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,configname,RegressionTest,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,datetime,20180920-01:30:51,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,experiment,RegressionTest,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,inifile,omnetpp.ini,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,iterationvars,$usertraffic=0.1,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,iterationvarsf,usertraffic=0.1-,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,measurement,$usertraffic=0.1,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,network,rrcellnet.CellularNetwork,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,processid,7730,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,repetition,0,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,replication,#0,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,resultdir,results,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,runnumber,0,
RegressionTest-0-20180920-01:30:51-7730,runattr,,,seedset,0,
RegressionTest-0-20180920-01:30:51-7730,itervar,,,usertraffic,0.1,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.nUsersCell,1,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.webServer[*].lambda,0.1,
RegressionTest-0-20180920-01:30:51-7730,param,,,CellularNetwork.users[*].isBinomial,false,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.bestCQIScheduler,false,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.**.timeFramePeriod,1ms,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.**.nFrameSlots,25,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.webServer[*].size_uniform_a,3,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.webServer[*].size_uniform_b,75,
RegressionTest-0-20180920-01:30:51-7730,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
RegressionTest-0-20180920-01:30:51-7730,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
RegressionTest-0-20180920-01:30:51-7730,param,,,CellularNetwork.users[*].validationCQI,false,
RegressionTest-0-20180920-01:30:51-7730,param,,,CellularNetwork.users[*].fixedCQI,0,
RegressionTest-0-20180920-01:30:51-7730,param,,,**.webServer[*].fixedRate,false,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,configname,RegressionTest,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,datetime,20180920-01:30:51,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,experiment,RegressionTest,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,inifile,omnetpp.ini,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,iterationvars,$usertraffic=0.1,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,iterationvarsf,usertraffic=0.1-,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,measurement,$usertraffic=0.1,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,network,rrcellnet.CellularNetwork,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,processid,7731,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,repetition,2,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,replication,#2,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,resultdir,results,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,runnumber,2,
RegressionTest-2-20180920-01:30:51-7731,runattr,,,seedset,2,
RegressionTest-2-20180920-01:30:51-7731,itervar,,,usertraffic,0.1,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.nUsersCell,1,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.webServer[*].lambda,0.1,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].isBinomial,false,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.bestCQIScheduler,false,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.**.timeFramePeriod,1ms,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.**.nFrameSlots,25,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.webServer[*].size_uniform_a,3,
RegressionTest-2-20180920-01:30:51-7731,param,,,**.webServer[*].size_uniform_b,75,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
RegressionTest-2-20180920-01:30:51-7731,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
