run,type,module,name,attrname,attrvalue,value
UniformCQI-2-20180915-18:13:01-15137,runattr,,,configname,UniformCQI,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,datetime,20180915-18:13:01,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,experiment,UniformCQI,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,inifile,omnetpp.ini,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,measurement,$usertraffic=0.1,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,processid,15137,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,repetition,2,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,replication,#2,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,resultdir,results,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,runnumber,2,
UniformCQI-2-20180915-18:13:01-15137,runattr,,,seedset,2,
UniformCQI-2-20180915-18:13:01-15137,itervar,,,usertraffic,0.1,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.webServer[*].lambda,0.1,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.bestCQIScheduler,false,
UniformCQI-2-20180915-18:13:01-15137,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.nUsersCell,10,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.**.timeFramePeriod,1ms,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.**.nFrameSlots,25,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI-2-20180915-18:13:01-15137,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI-2-20180915-18:13:01-15137,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI-2-20180915-18:13:01-15137,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI-2-20180915-18:13:01-15137,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI-2-20180915-18:13:01-15137,param,,,**.webServer[*].fixedRate,false,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,configname,UniformCQI,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,datetime,20180915-18:13:01,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,experiment,UniformCQI,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,inifile,omnetpp.ini,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,measurement,$usertraffic=0.1,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,processid,15134,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,repetition,0,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,replication,#0,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,resultdir,results,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,runnumber,0,
UniformCQI-0-20180915-18:13:01-15134,runattr,,,seedset,0,
UniformCQI-0-20180915-18:13:01-15134,itervar,,,usertraffic,0.1,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.webServer[*].lambda,0.1,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.bestCQIScheduler,false,
UniformCQI-0-20180915-18:13:01-15134,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.nUsersCell,10,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.**.timeFramePeriod,1ms,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.**.nFrameSlots,25,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI-0-20180915-18:13:01-15134,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI-0-20180915-18:13:01-15134,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI-0-20180915-18:13:01-15134,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI-0-20180915-18:13:01-15134,param,,,CellularNetwork.users[*].fixedCQI,0,
UniformCQI-0-20180915-18:13:01-15134,param,,,**.webServer[*].fixedRate,false,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,configname,UniformCQI,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,datetime,20180915-18:13:39,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,experiment,UniformCQI,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,inifile,omnetpp.ini,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,iterationvars,$usertraffic=1.6,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,iterationvarsf,usertraffic=1.6-,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,measurement,$usertraffic=1.6,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,processid,15309,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,repetition,3,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,replication,#3,
UniformCQI-33-20180915-18:13:39-15309,runattr,,,resultdir,results,
