run,type,module,name,attrname,attrvalue,value
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,configname,UniformCQI_bestCQIScheduler,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,datetime,20180914-17:34:46,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,experiment,UniformCQI_bestCQIScheduler,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,inifile,omnetpp.ini,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,iterationvars,$usertraffic=0.1,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,iterationvarsf,usertraffic=0.1-,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,measurement,$usertraffic=0.1,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,network,rrcellnet.CellularNetwork,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,processid,26855,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,repetition,2,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,replication,#2,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,resultdir,results,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,runnumber,2,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,runattr,,,seedset,2,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,itervar,,,usertraffic,0.1,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.bestCQIScheduler,true,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.webServer[*].lambda,0.1,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.bestCQIScheduler,false,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,CellularNetwork.users[*].isBinomial,false,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.nUsersCell,10,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.**.timeFramePeriod,1ms,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.**.nFrameSlots,25,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.webServer[*].size_uniform_a,3,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,**.webServer[*].size_uniform_b,75,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,CellularNetwork.users[*].cqi_binomial_n,14,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,CellularNetwork.users[*].cqi_binomial_p,0.5,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,CellularNetwork.users[*].validationCQI,false,
UniformCQI_bestCQIScheduler-2-20180914-17:34:46-26855,param,,,CellularNetwork.users[*].fixedCQI,0,
